FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,Posture
0,174,620,0,0,0,lean left
0,174,619,0,0,0,lean left
0,179,618,0,0,0,lean left
0,190,619,0,0,0,lean left
0,183,618,0,0,0,lean left
0,172,618,0,0,0,lean left
0,175,618,0,0,0,lean left
0,163,618,0,0,0,lean left
0,157,619,0,0,0,lean left
0,186,619,0,0,0,lean left
0,189,620,0,0,0,lean left
0,192,620,0,0,0,lean left
0,181,624,0,0,0,lean left
0,171,627,0,0,0,lean left
0,170,629,0,0,0,lean left
0,198,630,0,0,0,lean left
0,209,631,0,0,0,lean left
0,198,630,0,0,0,lean left
0,205,625,0,0,0,lean left
0,201,623,0,0,0,lean left
0,186,621,0,0,0,lean left
0,202,621,0,0,0,lean left
0,188,605,0,0,0,lean left
0,187,610,0,0,0,lean left
0,198,610,0,0,0,lean left
0,183,603,0,0,0,lean left
0,169,577,0,0,0,lean left
0,180,564,0,0,0,lean left
0,227,589,0,0,0,lean left
0,263,613,0,0,0,lean left
0,216,622,0,0,0,lean left
0,183,629,0,0,0,lean left
0,210,631,0,0,0,lean left
0,203,633,0,0,0,lean left
0,253,637,0,0,0,lean left
0,302,640,0,0,0,lean left
0,309,640,0,0,0,lean left
0,307,649,0,0,0,lean left
0,314,647,0,0,0,lean left
0,290,643,0,0,0,lean left
0,279,635,0,0,0,lean left
0,258,635,0,0,0,lean left
0,218,633,0,0,0,lean left
0,189,629,0,0,0,lean left
0,199,630,0,0,0,lean left
0,228,626,0,0,0,lean left
0,250,626,0,0,0,lean left
0,245,625,0,0,0,lean left
0,254,626,0,0,0,lean left
0,249,626,0,0,0,lean left
0,258,626,0,0,0,lean left
0,256,629,0,0,0,lean left
0,252,629,0,0,0,lean left
0,255,628,0,0,0,lean left
0,249,625,0,0,0,lean left
0,242,632,0,0,0,lean left
0,254,632,0,0,0,lean left
0,255,633,0,0,0,lean left
0,256,632,0,0,0,lean left
0,267,633,0,0,0,lean left
0,265,631,0,0,0,lean left
0,262,632,0,0,0,lean left
0,242,635,0,0,0,lean left
0,227,636,0,0,0,lean left
0,222,643,0,0,0,lean left
0,221,646,0,0,0,lean left
0,221,647,0,0,0,lean left
0,247,649,0,0,0,lean left
0,262,647,0,0,0,lean left
0,262,643,0,0,0,lean left
0,267,642,0,0,0,lean left
0,138,637,0,0,0,lean left
0,212,638,0,0,0,lean left
0,145,657,0,0,0,lean left
0,217,670,0,0,0,lean left
0,259,662,0,0,0,lean left
0,268,659,0,0,0,lean left
0,262,655,0,0,0,lean left
0,241,654,0,0,0,lean left
0,201,652,0,0,0,lean left
0,214,649,0,0,0,lean left
0,221,653,0,0,0,lean left
0,224,653,0,0,0,lean left
0,225,653,0,0,0,lean left
0,245,650,0,0,0,lean left
0,275,638,0,0,0,lean left
0,247,633,0,0,0,lean left
0,245,636,0,0,0,lean left
0,247,667,7,0,0,lean left
0,217,682,9,0,0,lean left
0,248,676,0,0,0,lean left
0,266,660,0,0,0,lean left
0,268,666,0,0,0,lean left
0,246,669,0,0,0,lean left
0,252,661,0,0,0,lean left
0,255,662,0,0,0,lean left
0,255,664,0,0,0,lean left
0,258,659,0,0,0,lean left
0,259,660,0,0,0,lean left
0,263,662,0,0,0,lean left
0,259,664,0,0,0,lean left
0,262,666,0,0,0,lean left
0,254,666,0,0,0,lean left
0,241,668,0,0,0,lean left
0,246,666,0,0,0,lean left
0,246,666,0,0,0,lean left
0,253,666,0,0,0,lean left
0,254,666,0,0,0,lean left
0,257,666,0,0,0,lean left
0,257,667,0,0,0,lean left
0,256,665,0,0,0,lean left
0,253,666,0,0,0,lean left
0,248,668,0,0,0,lean left
0,252,668,0,0,0,lean left
0,251,669,0,0,0,lean left
0,250,671,0,0,0,lean left
0,255,672,0,0,0,lean left
0,254,671,0,0,0,lean left
0,256,671,0,0,0,lean left
0,255,668,0,0,0,lean left
0,266,669,0,0,0,lean left
0,265,667,0,0,0,lean left
0,255,666,0,0,0,lean left
0,249,667,0,0,0,lean left
0,249,667,0,0,0,lean left
0,248,668,0,0,0,lean left
0,254,669,0,0,0,lean left
0,262,669,0,0,0,lean left
0,268,671,0,0,0,lean left
0,267,671,0,0,0,lean left
0,270,670,0,0,0,lean left
0,264,670,0,0,0,lean left
0,268,668,0,0,0,lean left
0,269,667,0,0,0,lean left
0,270,669,0,0,0,lean left
0,269,669,0,0,0,lean left
0,265,670,0,0,0,lean left
0,265,671,0,0,0,lean left
0,266,671,0,0,0,lean left
0,2,679,198,2,752,lean left
0,1,680,198,2,753,lean left
0,1,682,198,1,754,lean left
0,2,684,195,2,755,lean left
0,2,683,180,1,748,lean left
0,1,691,183,2,745,lean left
0,1,705,181,1,736,lean left
0,1,723,174,2,726,lean left
0,1,744,173,2,687,lean left
0,1,753,178,1,656,lean left
0,129,763,177,1,645,lean left
0,153,764,176,2,632,lean left
0,159,759,177,1,617,lean left
0,153,756,178,1,627,lean left
0,149,756,178,1,632,lean left
0,141,755,179,3,636,lean left
