FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,Posture
608,571,597,16,0,1,correct
608,571,600,15,0,0,correct
604,571,587,15,0,0,correct
607,576,587,16,0,0,correct
608,576,597,15,0,0,correct
608,577,610,16,0,0,correct
610,580,617,15,0,0,correct
612,582,623,16,1,0,correct
612,583,628,16,1,0,correct
613,584,629,16,0,1,correct
612,585,620,16,1,0,correct
612,584,614,16,0,0,correct
612,575,604,16,0,0,correct
612,573,596,15,0,0,correct
612,572,590,15,0,1,correct
612,570,589,15,0,0,correct
612,567,589,15,0,1,correct
607,560,576,16,0,0,correct
611,562,580,15,1,0,correct
611,563,581,15,0,0,correct
612,557,579,15,0,0,correct
613,559,580,15,0,0,correct
613,560,580,15,0,0,correct
613,560,580,15,0,0,correct
613,556,577,15,0,0,correct
614,551,587,15,1,0,correct
613,550,573,15,0,0,correct
613,561,574,16,0,0,correct
613,553,580,15,0,0,correct
613,550,582,15,0,1,correct
614,548,583,15,0,0,correct
613,547,584,15,0,0,correct
613,547,584,15,0,0,correct
613,542,585,15,0,0,correct
614,547,596,15,0,0,correct
613,549,590,15,0,1,correct
615,560,600,16,0,0,correct
615,560,605,15,0,0,correct
615,560,610,15,0,0,correct
615,562,612,15,0,0,correct
615,561,604,16,0,0,correct
616,561,600,16,0,0,correct
616,559,592,15,0,1,correct
616,559,588,16,0,1,correct
615,553,563,16,0,0,correct
615,560,563,15,0,1,correct
615,555,563,15,0,0,correct
615,550,565,15,0,0,correct
615,548,566,15,0,0,correct
615,547,567,16,0,0,correct
615,550,575,15,0,0,correct
616,540,580,16,0,0,correct
616,536,587,15,0,0,correct
616,546,580,15,0,0,correct
616,555,585,15,0,0,correct
616,549,588,17,0,0,correct
616,542,593,15,0,0,correct
615,541,593,16,0,0,correct
616,529,590,16,1,0,correct
615,505,585,17,0,0,correct
616,497,588,17,0,0,correct
615,530,583,16,0,0,correct
615,559,589,17,0,0,correct
616,561,588,17,0,0,correct
620,557,592,16,0,1,correct
620,557,595,17,1,0,correct
626,550,595,17,0,0,correct
629,519,589,17,0,0,correct
630,530,588,17,0,1,correct
630,541,587,18,0,0,correct
629,547,581,17,0,0,correct
630,556,580,16,0,0,correct
631,546,580,16,0,0,correct
630,522,581,17,0,0,correct
630,492,578,17,1,0,correct
631,468,578,16,0,0,correct
631,467,577,17,0,0,correct
626,467,570,16,0,0,correct
627,489,572,16,0,0,correct
622,491,573,17,0,0,correct
623,480,576,17,0,0,correct
623,472,576,16,0,0,correct
624,473,577,17,0,0,correct
627,467,580,16,0,0,correct
631,462,585,16,0,0,correct
630,447,582,16,0,0,correct
633,478,589,17,0,0,correct
634,481,594,17,0,0,correct
633,480,598,17,0,0,correct
633,479,603,17,0,1,correct
632,437,610,17,0,0,correct
632,433,616,17,0,0,correct
632,459,624,17,0,0,correct
628,454,617,16,0,0,correct
630,479,626,16,0,0,correct
629,456,628,17,0,0,correct
630,431,624,17,0,0,correct
631,431,621,16,0,0,correct
632,420,615,17,0,0,correct
635,409,610,16,0,0,correct
634,391,609,17,1,0,correct
633,391,606,17,0,0,correct
633,405,608,17,0,0,correct
634,406,610,17,0,0,correct
634,388,612,17,0,0,correct
634,386,615,16,0,0,correct
634,387,617,17,0,0,correct
635,386,619,17,0,0,correct
635,373,621,16,0,1,correct
634,370,620,17,0,1,correct
634,363,619,17,0,0,correct
634,367,622,16,0,0,correct
633,374,623,17,0,0,correct
