FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,Posture
780,6,595,6,365,6,slouch
780,7,595,7,365,7,slouch
780,6,595,6,364,5,slouch
781,7,595,7,365,7,slouch
780,6,594,6,364,6,slouch
780,5,595,5,363,5,slouch
781,4,595,4,363,4,slouch
781,4,594,5,364,4,slouch
781,4,594,3,364,4,slouch
780,5,592,5,364,5,slouch
780,4,592,4,364,3,slouch
781,5,593,5,365,5,slouch
780,4,592,3,364,3,slouch
780,5,594,5,364,5,slouch
780,3,594,4,364,4,slouch
781,5,593,4,364,5,slouch
782,3,593,4,364,4,slouch
782,5,593,4,365,5,slouch
782,3,592,3,365,3,slouch
783,5,592,5,366,4,slouch
784,3,593,3,366,4,slouch
784,5,594,5,367,4,slouch
783,3,593,3,368,4,slouch
783,5,593,5,368,4,slouch
782,4,592,4,368,4,slouch
782,4,592,4,368,4,slouch
782,3,593,3,368,4,slouch
781,5,593,4,367,5,slouch
781,4,594,4,366,4,slouch
780,5,594,4,366,4,slouch
780,3,594,3,365,3,slouch
780,4,594,4,366,4,slouch
779,4,593,4,365,4,slouch
780,4,594,4,365,4,slouch
779,4,593,4,365,4,slouch
780,4,595,4,365,4,slouch
780,4,594,4,365,3,slouch
780,4,595,4,365,3,slouch
780,3,595,3,364,3,slouch
781,4,595,4,364,4,slouch
781,3,596,3,364,3,slouch
781,4,594,4,365,4,slouch
781,3,594,3,365,3,slouch
781,4,596,4,365,4,slouch
781,4,595,4,365,2,slouch
782,4,595,4,365,4,slouch
782,4,594,3,365,4,slouch
783,4,595,4,366,4,slouch
784,3,595,3,366,3,slouch
784,4,595,4,367,4,slouch
784,2,595,4,367,3,slouch
784,4,595,4,370,4,slouch
784,4,594,4,369,3,slouch
783,4,595,4,369,4,slouch
782,4,594,3,367,3,slouch
782,4,595,4,368,4,slouch
780,4,595,4,366,3,slouch
781,4,597,4,367,4,slouch
780,3,597,3,366,4,slouch
780,4,597,4,366,4,slouch
780,4,596,4,366,3,slouch
780,4,596,4,366,4,slouch
780,4,596,4,366,3,slouch
781,4,596,4,366,4,slouch
781,4,597,4,366,3,slouch
781,4,597,4,366,4,slouch
781,4,595,4,366,4,slouch
781,4,596,12,372,11,slouch
781,4,595,4,367,4,slouch
781,4,595,4,366,4,slouch
782,4,595,4,366,4,slouch
783,3,595,3,366,4,slouch
784,4,595,4,367,4,slouch
785,4,595,4,366,4,slouch
785,4,595,4,367,4,slouch
784,4,595,4,367,3,slouch
784,4,595,4,368,4,slouch
784,3,595,4,368,4,slouch
784,4,595,4,368,4,slouch
784,4,595,4,368,3,slouch
783,4,595,4,367,4,slouch
782,4,596,3,366,4,slouch
781,4,595,3,366,4,slouch
781,4,595,2,366,3,slouch
781,4,596,4,366,4,slouch
780,4,596,3,365,3,slouch
780,4,596,4,365,4,slouch
782,3,596,3,362,3,slouch
784,24,604,28,377,23,slouch
780,3,597,4,364,3,slouch
781,4,595,4,366,4,slouch
781,4,595,4,366,4,slouch
782,4,596,4,366,4,slouch
781,4,596,4,365,4,slouch
781,4,596,4,365,4,slouch
781,3,597,3,365,4,slouch
783,4,598,4,364,4,slouch
783,3,598,3,362,3,slouch
785,4,598,4,363,3,slouch
784,4,597,4,365,3,slouch
784,4,597,4,367,4,slouch
784,3,597,4,367,3,slouch
785,4,597,4,367,5,slouch
784,4,596,4,367,4,slouch
787,4,597,4,369,4,slouch
785,4,592,4,369,4,slouch
786,4,594,4,369,4,slouch
785,4,595,4,368,3,slouch
785,3,590,4,369,4,slouch
783,3,590,3,369,4,slouch
544,779,166,3,3,3,slouch
348,613,143,2,2,2,slouch
331,607,101,2,2,2,slouch
330,681,92,2,2,1,slouch
