FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,Posture
622,470,1,15,0,1,lean right
621,462,1,15,0,1,lean right
623,462,0,15,0,1,lean right
625,467,1,16,0,1,lean right
626,466,1,15,0,1,lean right
625,452,0,15,0,0,lean right
627,462,1,15,0,0,lean right
628,466,0,15,1,1,lean right
629,463,0,15,0,0,lean right
628,462,1,15,1,1,lean right
626,467,1,15,0,0,lean right
626,470,0,15,0,0,lean right
627,460,0,15,0,0,lean right
627,462,0,16,0,0,lean right
628,456,0,15,0,0,lean right
628,457,0,16,0,0,lean right
627,460,0,16,0,0,lean right
616,442,0,14,0,0,lean right
614,447,1,15,0,0,lean right
619,448,0,16,0,0,lean right
620,448,0,15,0,0,lean right
615,449,1,15,0,1,lean right
611,451,1,16,0,0,lean right
615,457,0,15,0,1,lean right
616,457,0,14,0,0,lean right
615,452,0,15,0,0,lean right
617,452,0,15,0,0,lean right
616,449,0,15,0,0,lean right
616,459,1,13,1,0,lean right
620,470,0,14,1,0,lean right
620,467,0,15,0,0,lean right
621,459,0,14,0,0,lean right
621,460,0,14,0,0,lean right
620,468,0,14,0,0,lean right
619,457,0,13,0,0,lean right
621,460,0,14,0,0,lean right
622,453,0,14,0,1,lean right
623,456,0,15,0,1,lean right
623,470,1,14,1,0,lean right
623,481,0,14,0,1,lean right
623,485,1,14,0,0,lean right
622,487,1,13,0,1,lean right
624,500,0,14,0,0,lean right
624,493,0,14,0,0,lean right
624,493,0,14,0,0,lean right
624,491,1,14,0,1,lean right
625,491,1,14,0,0,lean right
624,483,1,14,1,1,lean right
625,488,0,14,0,0,lean right
625,501,1,13,0,1,lean right
625,482,0,13,1,0,lean right
625,475,0,14,0,0,lean right
626,458,0,13,1,1,lean right
627,469,1,13,0,0,lean right
628,441,1,13,0,0,lean right
628,441,0,13,1,1,lean right
628,442,1,13,0,0,lean right
628,429,0,13,0,0,lean right
629,428,0,14,0,0,lean right
629,425,0,14,0,0,lean right
628,420,0,13,0,0,lean right
629,418,0,14,0,0,lean right
629,428,0,14,0,0,lean right
628,428,0,13,0,0,lean right
629,421,0,14,0,0,lean right
629,424,1,13,0,1,lean right
629,443,0,13,0,0,lean right
629,455,1,14,0,0,lean right
629,440,0,13,1,1,lean right
629,408,0,13,0,0,lean right
625,394,0,14,0,0,lean right
625,409,0,14,0,0,lean right
622,420,0,13,0,0,lean right
624,431,0,14,0,1,lean right
625,451,0,14,0,0,lean right
625,457,1,14,0,0,lean right
626,433,0,13,0,0,lean right
626,444,0,13,0,0,lean right
626,458,0,13,0,0,lean right
626,447,0,13,0,0,lean right
625,433,0,14,0,0,lean right
625,419,0,14,0,0,lean right
625,413,0,13,0,0,lean right
625,417,0,14,0,1,lean right
625,420,0,14,0,0,lean right
625,419,0,14,0,0,lean right
625,425,1,14,0,0,lean right
626,431,0,12,0,0,lean right
626,430,0,13,0,0,lean right
626,432,0,13,0,0,lean right
625,431,0,12,0,0,lean right
626,422,0,12,0,0,lean right
626,428,1,13,0,0,lean right
626,432,0,13,0,0,lean right
626,458,0,13,0,0,lean right
627,454,0,13,0,0,lean right
627,448,0,15,0,0,lean right
628,427,0,15,0,1,lean right
627,432,0,15,0,0,lean right
627,455,1,15,0,0,lean right
627,460,0,15,0,1,lean right
627,457,1,15,0,1,lean right
628,439,1,15,0,0,lean right
628,443,0,15,0,1,lean right
632,433,0,16,0,0,lean right
634,478,1,15,0,0,lean right
635,485,1,13,1,1,lean right
634,485,0,13,0,0,lean right
634,479,0,14,0,1,lean right
630,432,0,16,0,0,lean right
630,427,0,15,0,0,lean right
628,431,0,15,0,0,lean right
628,432,0,15,0,0,lean right
629,436,1,16,1,1,lean right
628,431,0,15,0,0,lean right
628,433,0,16,0,0,lean right
628,442,0,16,1,0,lean right
629,440,0,15,0,0,lean right
628,436,0,16,0,0,lean right
629,430,0,16,0,0,lean right
628,425,0,15,0,0,lean right
630,405,0,15,0,0,lean right
630,411,0,15,1,1,lean right
630,420,1,15,0,0,lean right
631,431,0,16,0,0,lean right
632,430,0,15,0,0,lean right
632,439,1,16,0,1,lean right
633,406,0,15,0,0,lean right
634,425,0,14,0,0,lean right
634,422,0,13,0,0,lean right
635,420,0,14,0,0,lean right
634,420,1,13,1,1,lean right
634,429,0,13,0,0,lean right
632,441,0,13,0,0,lean right
632,454,1,13,0,0,lean right
632,455,0,13,0,0,lean right
632,444,1,13,0,0,lean right
632,401,0,14,0,0,lean right
633,407,0,14,0,0,lean right
633,412,0,14,0,0,lean right
635,436,0,14,0,0,lean right
635,403,0,14,0,1,lean right
635,389,0,14,0,0,lean right
636,385,0,14,0,0,lean right
636,388,0,14,0,0,lean right
636,400,0,13,0,0,lean right
636,411,0,14,0,0,lean right
636,410,0,13,0,0,lean right
638,422,0,14,0,0,lean right
638,418,0,13,0,0,lean right
637,418,0,13,0,0,lean right
634,395,0,14,0,0,lean right
637,425,0,14,0,0,lean right
639,434,0,14,0,0,lean right
639,428,0,15,0,0,lean right
637,430,0,14,0,1,lean right
642,452,0,14,0,0,lean right
638,409,0,14,0,0,lean right
638,411,0,14,0,0,lean right
642,385,0,14,0,0,lean right
643,371,0,14,0,0,lean right
643,384,0,12,0,0,lean right
638,376,0,13,0,0,lean right
635,364,0,13,0,0,lean right
635,357,0,14,0,0,lean right
634,364,0,13,0,0,lean right
635,359,0,13,0,0,lean right
635,350,0,12,0,0,lean right
635,363,0,12,0,0,lean right
635,366,0,12,0,0,lean right
635,361,0,14,0,0,lean right
635,359,0,13,0,0,lean right
635,360,0,14,0,0,lean right
634,362,0,13,0,0,lean right
635,343,0,12,0,0,lean right
635,362,0,13,0,0,lean right
635,368,0,13,0,0,lean right
636,369,0,14,0,0,lean right
636,374,0,13,0,0,lean right
637,371,0,13,0,0,lean right
639,362,0,13,0,0,lean right
685,127,533,14,208,2,lean right
705,122,497,15,211,3,lean right
723,112,455,28,214,2,lean right
734,94,361,40,219,1,lean right
739,0,222,39,218,0,lean right
740,0,98,42,202,0,lean right
738,0,0,64,193,0,lean right
738,0,0,77,186,0,lean right
734,0,0,67,175,0,lean right
739,0,0,65,186,0,lean right
740,0,0,66,176,0,lean right
740,0,0,65,177,0,lean right
740,0,0,65,175,0,lean right
741,0,0,68,170,0,lean right
